"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"Edam-Volendam";"Installaties";"aantal";"6384"
"Edam-Volendam";"Opgesteld vermogen van zonnepanelen";"kWp";"36907"
"Edam-Volendam";"Opgesteld vermogen omvormers";"kW";"32402"
"Edam-Volendam";"Productie van zonnestroom";"mln kWh";"."
"Ede";"Installaties";"aantal";"19559"
"Ede";"Opgesteld vermogen van zonnepanelen";"kWp";"167782"
"Ede";"Opgesteld vermogen omvormers";"kW";"149994"
"Ede";"Productie van zonnestroom";"mln kWh";"."
"Eemnes";"Installaties";"aantal";"2422"
"Eemnes";"Opgesteld vermogen van zonnepanelen";"kWp";"16942"
"Eemnes";"Opgesteld vermogen omvormers";"kW";"15107"
"Eemnes";"Productie van zonnestroom";"mln kWh";"."
"Eemsdelta";"Installaties";"aantal";"11796"
"Eemsdelta";"Opgesteld vermogen van zonnepanelen";"kWp";"149708"
"Eemsdelta";"Opgesteld vermogen omvormers";"kW";"123045"
"Eemsdelta";"Productie van zonnestroom";"mln kWh";"."
"Eersel";"Installaties";"aantal";"4520"
"Eersel";"Opgesteld vermogen van zonnepanelen";"kWp";"38738"
"Eersel";"Opgesteld vermogen omvormers";"kW";"35090"
"Eersel";"Productie van zonnestroom";"mln kWh";"."
"Eijsden-Margraten";"Installaties";"aantal";"5982"
"Eijsden-Margraten";"Opgesteld vermogen van zonnepanelen";"kWp";"40305"
"Eijsden-Margraten";"Opgesteld vermogen omvormers";"kW";"36441"
"Eijsden-Margraten";"Productie van zonnestroom";"mln kWh";"."
"Eindhoven";"Installaties";"aantal";"36349"
"Eindhoven";"Opgesteld vermogen van zonnepanelen";"kWp";"224656"
"Eindhoven";"Opgesteld vermogen omvormers";"kW";"199949"
"Eindhoven";"Productie van zonnestroom";"mln kWh";"."
"Elburg";"Installaties";"aantal";"4849"
"Elburg";"Opgesteld vermogen van zonnepanelen";"kWp";"29180"
"Elburg";"Opgesteld vermogen omvormers";"kW";"27414"
"Elburg";"Productie van zonnestroom";"mln kWh";"."
"Emmen";"Installaties";"aantal";"24863"
"Emmen";"Opgesteld vermogen van zonnepanelen";"kWp";"285390"
"Emmen";"Opgesteld vermogen omvormers";"kW";"252155"
"Emmen";"Productie van zonnestroom";"mln kWh";"."
"Enkhuizen";"Installaties";"aantal";"2841"
"Enkhuizen";"Opgesteld vermogen van zonnepanelen";"kWp";"16869"
"Enkhuizen";"Opgesteld vermogen omvormers";"kW";"15304"
"Enkhuizen";"Productie van zonnestroom";"mln kWh";"."
"Enschede";"Installaties";"aantal";"21433"
"Enschede";"Opgesteld vermogen van zonnepanelen";"kWp";"172541"
"Enschede";"Opgesteld vermogen omvormers";"kW";"158529"
"Enschede";"Productie van zonnestroom";"mln kWh";"."
"Epe";"Installaties";"aantal";"6266"
"Epe";"Opgesteld vermogen van zonnepanelen";"kWp";"46388"
"Epe";"Opgesteld vermogen omvormers";"kW";"41361"
"Epe";"Productie van zonnestroom";"mln kWh";"."
"Ermelo";"Installaties";"aantal";"5294"
"Ermelo";"Opgesteld vermogen van zonnepanelen";"kWp";"42184"
"Ermelo";"Opgesteld vermogen omvormers";"kW";"36744"
"Ermelo";"Productie van zonnestroom";"mln kWh";"."
"Etten-Leur";"Installaties";"aantal";"7741"
"Etten-Leur";"Opgesteld vermogen van zonnepanelen";"kWp";"76552"
"Etten-Leur";"Opgesteld vermogen omvormers";"kW";"64096"
"Etten-Leur";"Productie van zonnestroom";"mln kWh";"."
"De Fryske Marren";"Installaties";"aantal";"13687"
